index,Sex,Age,Profession/job,Education level (recoded),Scale of incomes,Social class (subjective),Country_Code
0,Male,39,Foreman and supervisor,Middle,Sixth step,Lower middle class,Albania
1,Male,69,Foreman and supervisor,Lower,Fifth step,Lower middle class,Albania
2,Male,54,Skilled manual,Middle,Third step,Working class,Albania
3,Female,60,Skilled manual,Middle,Third step,Working class,Albania
4,Female,64,Professional worker,Lower,Fourth step,Working class,Albania
5,Female,33,Unskilled manual,Lower,second step,Lower class,Albania
6,Male,42,Farmer: has own farm,Upper,Third step,Lower middle class,Albania
7,Female,28,Agricultural worker,Lower,Eigth step,Working class,Albania
8,Female,46,Farmer: has own farm,Middle,Third step,Lower class,Albania
9,Female,43,Farmer: has own farm,Upper,Seventh step,Lower middle class,Albania
10,Male,26,Semi-skilled manual worker,Lower,Third step,Working class,Albania
11,Male,21,Farmer: has own farm,Middle,Fourth step,Working class,Albania
12,Female,23,Farmer: has own farm,Lower,Fifth step,Lower middle class,Albania
13,Male,34,Farmer: has own farm,Middle,Sixth step,Lower middle class,Albania
14,Female,65,Skilled manual,Lower,Nineth step,Lower middle class,Albania
15,Female,52,Farmer: has own farm,Middle,Sixth step,Lower middle class,Albania
16,Male,19,Semi-skilled manual worker,Upper,Seventh step,Lower middle class,Albania
17,Male,57,Farmer: has own farm,Middle,Fourth step,Working class,Albania
18,Male,23,Farmer: has own farm,Lower,Third step,Working class,Albania
19,Female,70,Unskilled manual,Lower,Fourth step,Lower class,Albania
20,Female,44,Agricultural worker,Lower,Sixth step,Lower middle class,Albania
21,Female,27,Never had a job,Middle,Fifth step,Lower middle class,Albania
22,Female,26,Professional worker,Upper,Seventh step,Lower middle class,Albania
23,Female,33,Farmer: has own farm,Lower,Sixth step,Lower middle class,Albania
24,Female,55,Farmer: has own farm,Middle,Fifth step,Working class,Albania
25,Female,41,Farmer: has own farm,Lower,second step,Lower class,Albania
26,Male,55,Professional worker,Upper,Sixth step,Lower middle class,Albania
27,Female,70,Unskilled manual,Lower,Fourth step,Lower class,Albania
28,Male,69,Unskilled manual,Lower,Third step,Working class,Albania
29,Female,30,Never had a job,Lower,Third step,Lower middle class,Albania
30,Male,42,Foreman and supervisor,Lower,Seventh step,Lower middle class,Albania
31,Female,48,Agricultural worker,Lower,second step,Lower class,Albania
32,Female,42,Professional worker,Upper,Fifth step,Upper class,Albania
33,Male,44,Farmer: has own farm,Middle,Third step,Working class,Albania
34,Male,46,Farmer: has own farm,Lower,Fifth step,Lower class,Albania
35,Female,32,Skilled manual,Middle,Fourth step,Working class,Albania
36,Female,45,Non manual -office worker,Middle,Seventh step,Working class,Albania
37,Female,32,Foreman and supervisor,Middle,Fifth step,Lower middle class,Albania
38,Male,62,Agricultural worker,Lower,Fourth step,Working class,Albania
39,Male,56,Skilled manual,Middle,Third step,Working class,Albania
40,Female,57,Farmer: has own farm,Lower,second step,Working class,Albania
41,Male,60,Farmer: has own farm,Lower,Fifth step,Working class,Albania
42,Female,21,Semi-skilled manual worker,Lower,Fifth step,Lower middle class,Albania
43,Male,49,Professional worker,Upper,Seventh step,Lower middle class,Albania
44,Female,54,Professional worker,Upper,Sixth step,Lower middle class,Albania
45,Male,41,Skilled manual,Middle,Third step,Working class,Albania
46,Female,29,Farmer: has own farm,Lower,Fifth step,Lower middle class,Albania
47,Male,25,Never had a job,Upper,Sixth step,Working class,Albania
48,Female,19,Farmer: has own farm,Lower,Third step,Working class,Albania
49,Male,43,Skilled manual,Lower,second step,Working class,Albania
50,Male,22,Farmer: has own farm,Lower,Sixth step,Working class,Albania
51,Female,33,Skilled manual,Middle,Fourth step,Working class,Albania
52,Male,44,Employer/manager of establishment with less than 10 employed,Middle,Seventh step,Lower middle class,Albania
53,Male,18,Never had a job,Upper,Fifth step,Lower class,Albania
54,Male,33,Skilled manual,Middle,Fifth step,Lower middle class,Albania
55,Male,58,Farmer: has own farm,Lower,Eigth step,Working class,Albania
56,Male,42,Employer/manager of establishment with less than 10 employed,Upper,Seventh step,Upper middle class,Albania
57,Male,28,Semi-skilled manual worker,Middle,Fourth step,Lower middle class,Albania
58,Female,18,Never had a job,Lower,Third step,Lower class,Albania
59,Female,43,Skilled manual,Middle,Fifth step,Working class,Albania
60,Male,20,Farmer: has own farm,Middle,Sixth step,Lower middle class,Albania
61,Male,43,Skilled manual,Middle,Seventh step,Lower middle class,Albania
62,Female,50,Agricultural worker,Lower,second step,Lower class,Albania
63,Male,32,Employer/manager of establishment with less than 10 employed,Middle,Seventh step,Lower middle class,Albania
64,Female,42,Agricultural worker,Lower,Fourth step,Working class,Albania
65,Male,56,Farmer: has own farm,Lower,Sixth step,Lower middle class,Albania
66,Female,56,Never had a job,Lower,Eigth step,Lower middle class,Albania
67,Male,23,Farmer: has own farm,Lower,Fourth step,Working class,Albania
68,Male,42,Agricultural worker,Middle,Fourth step,Lower class,Albania
69,Male,36,Professional worker,Upper,Sixth step,Lower middle class,Albania
70,Female,43,Never had a job,Upper,Fourth step,Working class,Albania
71,Male,59,Semi-skilled manual worker,Lower,second step,Working class,Albania
72,Male,24,Member of armed forces,Middle,Sixth step,Lower middle class,Albania
73,Male,18,Never had a job,Upper,Don´t know,Lower middle class,Albania
74,Male,41,Farmer: has own farm,Lower,second step,Lower class,Albania
75,Male,19,Never had a job,Middle,Eigth step,Upper middle class,Albania
76,Female,28,Never had a job,Upper,Sixth step,Lower middle class,Albania
77,Female,34,Professional worker,Upper,Seventh step,Lower middle class,Albania
78,Male,54,Skilled manual,Middle,second step,Working class,Albania
79,Female,65,No answer,Lower,Fourth step,Working class,Albania
80,Male,46,Unskilled manual,Lower,Fourth step,Lower class,Albania
81,Female,37,Skilled manual,Upper,Eigth step,Lower middle class,Albania
82,Female,47,Skilled manual,Upper,Fifth step,Working class,Albania
83,Female,19,Never had a job,Upper,Seventh step,Upper middle class,Albania
84,Female,36,Never had a job,Lower,Fourth step,Working class,Albania
85,Female,33,Never had a job,Middle,Fourth step,Working class,Albania
86,Female,65,Farmer: has own farm,Lower,Third step,Lower class,Albania
87,Male,47,Foreman and supervisor,Lower,Sixth step,Lower middle class,Albania
88,Female,68,Agricultural worker,Lower,Third step,Working class,Albania
89,Female,38,Skilled manual,Middle,Seventh step,Lower middle class,Albania
90,Female,24,Never had a job,Lower,Third step,Working class,Albania
91,Female,52,Farmer: has own farm,Middle,Sixth step,Lower middle class,Albania
92,Female,24,Skilled manual,Lower,Sixth step,Lower middle class,Albania
93,Male,34,Agricultural worker,Lower,Fourth step,Lower class,Albania
94,Female,42,Supervisory Non manual -office worker,Upper,Sixth step,Lower middle class,Albania
95,Male,51,Semi-skilled manual worker,Lower,Fourth step,Working class,Albania
96,Male,66,Foreman and supervisor,Lower,Fifth step,Lower middle class,Albania
97,Male,45,Employer/manager of establishment with less than 10 employed,Lower,Tenth step,Upper middle class,Albania
98,Female,40,Never had a job,Lower,Fourth step,Lower class,Albania
99,Female,29,Skilled manual,Upper,Sixth step,Lower middle class,Albania
0,Female,43,Not asked,Lower,Fourth step,Lower middle class,Algeria
1,Female,24,Foreman and supervisor,Upper,second step,Upper middle class,Algeria
2,Female,38,Not asked,Lower,Third step,Lower class,Algeria
3,Male,37,Skilled manual,Upper,second step,Lower class,Algeria
4,Female,28,Skilled manual,Upper,Don´t know,Lower middle class,Algeria
5,Male,19,Not asked,Middle,Fourth step,Lower middle class,Algeria
6,Female,24,Never had a job,Upper,second step,Lower middle class,Algeria
7,Female,29,Not asked,Upper,Lower step,No answer,Algeria
8,Female,34,Not asked,Middle,Seventh step,Upper middle class,Algeria
9,Male,50,Professional worker,Upper,second step,Lower middle class,Algeria
10,Female,50,Professional worker,Upper,Third step,Lower middle class,Algeria
11,Male,57,Not asked,Lower,Sixth step,Lower middle class,Algeria
12,Female,22,Professional worker,Upper,second step,Lower middle class,Algeria
13,Female,21,Not asked,Upper,second step,Upper middle class,Algeria
14,Female,52,Non manual -office worker,Middle,Third step,Working class,Algeria
15,Female,52,Non manual -office worker,Middle,Third step,Working class,Algeria
16,Male,23,Non manual -office worker,Upper,Third step,Working class,Algeria
17,Male,58,Professional worker,Middle,Lower step,Working class,Algeria
18,Male,45,Not asked,Lower,Lower step,Lower class,Algeria
19,Male,32,Not asked,Lower,Seventh step,Lower class,Algeria
20,Female,44,Not asked,Middle,Lower step,Working class,Algeria
21,Female,27,Not asked,Middle,Tenth step,Working class,Algeria
22,Male,66,Not asked,Lower,Sixth step,Lower middle class,Algeria
23,Female,38,Not asked,Lower,Seventh step,Upper middle class,Algeria
24,Male,35,Not asked,Lower,Fifth step,Working class,Algeria
25,Female,55,Never had a job,Lower,Fourth step,Working class,Algeria
26,Female,40,Not asked,Middle,Seventh step,Upper middle class,Algeria
27,Female,40,Never had a job,Middle,Third step,Working class,Algeria
28,Female,38,Professional worker,Upper,Sixth step,Upper middle class,Algeria
29,Male,32,No answer,Middle,Fourth step,Upper middle class,Algeria
30,Male,23,Never had a job,Upper,second step,Lower class,Algeria
31,Male,22,No answer,Upper,Third step,Lower middle class,Algeria
32,Male,40,Not asked,Middle,Seventh step,Upper middle class,Algeria
